content_id,source,url,text,phases
tea,りりーどーる (P3 - 時間停止 脳死法 / 時空潜航のマーチ / 次元断絶のマーチ),https://na.finalfantasyxiv.com/lodestone/character/34120564/blog/5274750/,"/p ■時間停止(脳死法)
/p 　無印→左側ロボ(TH上/DPS下)
/p 　緑線→右側ロボ(TH上/DPS下)
/p 　青線TH→左側　青線D→右側(チェイサー側は近づく)
/p 　雷→ジャスの側面
/p ■散開例
/p 　★ジャス左側＝＝＝＝＝＝＝＝＝＝＝＝＝
/p 　　　　　　TH無　　　 TH緑
/p 　TH青　　[ジャス]　　[チェイサー]DPS青
/p 　雷2人　　DPS無　　　DPS緑
/p 　★ジャス右側＝＝＝＝＝＝＝＝＝＝＝＝＝
/p 　　　　 TH無　　　 　TH緑
/p 　TH青[チェイサー]　　[ジャス]　　DPS青
/p 　　　　 DPS無　　　 DPS緑　　 雷2人
/p ●●時空潜航のマーチ●●
/p ■誘導・散開
/p 　ラピス：１→①　２→②　３→③　４→④
/p 　結晶：雰囲気
/p 　火炎放射：プライム側6人　中央MT　真心側ST
/p ●●次元断絶のマーチ●●
/p ■散開　　　　　　　　■カウント(マップ基準A北)
/p 　　◎　　　　◎　　　　北MTST　　H1H2南
/p 　　　①　　②　　　　　北←D1D2D3D4→南
/p 　⑤⑦　　　　⑥⑧　　 （ついてないDPSは抜ける）
/p 　　　③　　④
/p 　　　 プライム
/p 懴悔の順番：５６→７８→１２
",p3
tea,りりーどーる (P4 - 確定判決 / 未来観測 α/β),https://na.finalfantasyxiv.com/lodestone/character/34120564/blog/5274750/,"/p ■確定判決
/p 黄親→4/紫親→2/他６人→2左側
/p ・頭割り：TH北/DPS南
/p ・散開：MT ST
/p 　　　　H1 ･ H2
/p 　　 D3 D1 D2 D4
/p ■未来観測α
/p [ボス側安置]　名誉罰
/p [対面側安置]左：集団罰＋他　　右：加重罰
/p ■未来観測β
/p 接触保護（黄親）：北寄りの北西
/p 接触禁止（黄子）：2左上
/p 逃亡観察（紫親）：2
/p 逃亡禁止（紫子/緑線）：2左上
/p 逃亡禁止（紫子/無職）：2左横
/p 逃亡禁止（紫子/青線）：2左下
/p ・頭割り：黄北/紫南
",p4
tea,ふうcだよ FF14情報サイト - 絶アレキサンダー討滅戦 カンペ集 (野良主流処理法),https://fuucdayo.com/battle/4046/,,"p1, p2, p3, p4"
tea,ふうcだよ FF14情報サイト - 絶アレキサンダー ヤークト完全無視処理法,https://fuucdayo.com/battle/3685/,,"p1, p2, p3, p4"
p1s,Game8 (ゲームエイト) - 辺獄編零式1層 ペア調整版,https://game8.jp/ff14/421207,"/p 【基本散開/氷火の侵食】
/p 　　D3　 MT　 D4
/p 　　H1 　 ■ 　 H2
/p 　　D1 　 ST 　D2
/p ※MT/D3が調整役 → 2回目で属性を必ず変更し3回目で調整
/p 　【結呪の魔鎖】　 ｜　　【結呪の魔鎖四連】
/p 　　D3　 　 　D4　｜　　遠18　　　　遠3
/p 　　 　 　MT 　 　 ｜　　　 　 　 近3
/p 　　 　 H1■H2　　｜　　　 近18■近8
/p 　　　 　 ST　　　 ｜　　　　 　 近13
/p 　　D1　 　　 D2　｜　　遠13　　　　遠8
/p 結呪調整ペア MTD4 / H2D2 / STD1 / H1D3 マーカー色基準
/p ※紫色：秒数短い順にABCDマーカー
/p ※赤色：秒数短い順に1234マーカー
/p 【時限の魔鎖】対象者は光、他は火
",p1
p2s,Game8 (ゲームエイト) - 辺獄編零式2層 基本散開版,https://game8.jp/ff14/365105,"/p 【ショックウェーブ・頭割り】
/p MT H1 D1 D2 (ボス下）
/p ST H2 D3 D4（通路）
/p 【チャネリングフロウ・十字】
/p 　　　TH↓DPS
/p 　DPS　　　　←TH
/p 　TH→　　　　DPS
/p 　　　DPS↑TH
/p 【多重刻印1回目】
/p ←T　頭割り　DPS→
/p 【多重刻印2回目】
/p T：角　DPS：内側
/p 【カンペオスハルマ】
/p 青サイコロ：1・3→ボス対角　2・4→ボス下
/p 紫サイコロ：数字マーカー基準
",p1
p3s,Game8 (ゲームエイト) - 辺獄編零式3層 前半フェーズ用,https://game8.jp/ff14/421350,"/p 【4:4分け（雑魚/霊泉）】
/p MT組：MTH1D1D3　ST組：STH2D2D4
/p 【闇の炎設置ペア：X字】
/p 　D3/MT ① D4/ST
/p 　 　 ④　□　②
/p 　D1/H1 ③ D2/H2
/p ※サイコロ数字マーカー、時計回りに炎を倒す
/p 【十字走火】大玉/小玉：基本北西　※北東方面に出た場合北東
/p 【突進：中央散開】ボスからMT/D3→H1/D1→H2/D2→ST/D4
/p 【突進：左右散開】←TH　DPS→ ※縦の並びは中央散開
/p 【雑魚誘導】MT組：北→西 　ST組：東→南
/p 【雑魚突進】
/p 線2本：繋がってる鳥の対角の時計回り
/p 線1本：繋がってるペアの対角
",p1
p3s,Game8 (ゲームエイト) - 辺獄編零式3層 後半フェーズ用,https://game8.jp/ff14/421350,"/p 【魔力錬成：闇（辺獄の炎嵐以外）】
/p 近接組(MTSTD1D2)：北安置　遠隔組(H1H2D3D4)：南安置
/p 【霊泉フェーズ：ハピおじ】
/p 塔踏みAOEスタート場所：MT組→北/西　ST組→南/東
/p ※時計回り塔踏みとAOEを設置
/p AoEペア：MT/ST → D1/D2 → D3/D4
/p 【辺獄2回目散開】
/p 　　 　　〇H2
/p 　 　 MT 　 ST
/p D3　 　 ボス　 　 H1
/p 〇 　D1 D4 D2　〇
/p 【辺獄黒竜巻ノックバック】
/p 　　 　黒竜巻
/p ←近接 　　　 遠隔→
",p2
p3s,Game8 (ゲームエイト) - 辺獄編零式3層 黒玉散開マクロ,https://game8.jp/ff14/421350,"/p 【赤小玉→黒小玉】　【赤大玉→黒小玉】
/p 　 　MT　ST　　　　 D1　MT　D2　ST
/p 　　　 ★　 　　 　　 　　　 ★
/p 　 　D1　 D2
/p 　　 　中央
/p 　 　H1　H2　　　　D3　H1　H2　D4
/p 　D3 　 　 　D4
/p ↑辺獄1回目ピザ後も【赤小玉→黒小玉】の並びで散開
/p 【辺獄中ピザカット避け】
/p ピザ3番目待機→1番目に退避→その場で頭割りor散開
/p 【辺獄中のノックバック後散開】
/p 　　　　　〇
/p ST　D2 　★　 H2　D4
/p 　〇 　D1　 H1　〇
/p 　　MT　　　　D3
",p2
p4s,Game8 (ゲームエイト) - 辺獄編零式4層前半 YPP 式,https://game8.jp/ff14/421733,"/p 【基本散開】　　　　　【毒線YPP式】
/p 　D3MTD4　　　　　TH：北　DPS：南
/p 　H1 ◯ H2
/p 　D1 ST D2　※塔線時計回り/線ぐるぐる
/p 【ピナクス炎：頭割り】　【ピナクス炎：シフト後頭割り】
/p 　MTH1 ● STH2　 　　敵正面：MTH1D1D3
/p 　D1D3 　 D2D4　　　敵背面：STH2D2D4
/p 【ピナクス毒：散開】　　【ピナクス毒：シフト後散開】
/p 　 MT　●　 ST　　　　　 　MT
/p 　 　D1　 D2　　　　 　 D1 〇 D2　　 ※MTは中央へ誘導
/p 　D3H1　H2D4　 　　　　 ST　※遠隔は適時外周寄りに散開
/p 【緑玉脳死・十字】
/p 　STMTH2　※MTH2→D3　STH1→D4
/p 　H1 ● D4　　 D1D3→MT　D2D4→H1
/p 　D1D3D2　　上記の玉を取って時計回り
",p1
p4s,Game8 (ゲームエイト) - 辺獄編零式4層後半 犬丸式 (序幕〜第三幕),https://game8.jp/ff14/422515,"/p ―《序幕》――――――――――――――――――
/p 　D3　　　　　D4
/p 　　MT　　　ST
/p 　　　　ボス
/p 　　D1　　　D2
/p 　H1　　　　　H2
/p ―《第二幕》―――――――――――――――――
/p 1番目にTダージャは北西、Hダージャは南東で切る
/p エアロガは北西、Dファイガ南東
/p DPSファイガ移動:時計回りD1D2D3D4反時計回り
/p ―《第三幕(犬丸式)》―――――――――――――
/p 　　D3　　　D3　 　　アースシェイカー誘導
/p 　H1　　●　　H1　→ 　ST　　　　ST
/p 　H2　　　　　H2　　D1 ● その他　● D1
/p 　　D4　　　D4　　　　 D2　　　　D2
",p2
p4s,Game8 (ゲームエイト) - 辺獄編零式4層後半 犬丸式 (第四幕〜カーテンコール),https://game8.jp/ff14/422515,"/p ―《第四幕》――――――――――――――――
/p ①ウォタガは塔の対角の１つ時計回り側で切る
/p 　ダージャは自分の塔の時計回り側の塔を踏む
/p ②南西集合し北のダージャから【時計回り】処理
/p ―《終幕》―――――――――――――――――
/p ●ボス基準散開
/p 　D3　D1　　　ST　H2
/p 　　 塔　【ボス】 塔
/p 　D4　D2　　　MT　H1
/p ―《カーテンコール》――――――――――――
/p 　THは6秒で切りに行く
/p 　Dは11秒で切りに行く
/p 　（メモ：13/23/33/43）
",p2
dsr,りりーどーる (P1 - 教皇庁① / MTアデル STグリノー / 線ST無敵 / 沈黙 MT→レンジ→MT),https://ffxiv.link/088010,"/p 【教皇庁①】
/p ｜■MTアデル／STグリノー
/p ｜開幕アデルへバースト　線ST無敵
/p ｜■ハイパーディメンション：北捨て→南捨て
/p ｜■沈黙　MT→レンジ→MT
/p ｜■プレステ　※北基準
/p ｜　H△　T×　 T□
/p ｜　D〇　　 　 D〇　※◯： 西 D1>D2>D3>D4 東
/p ｜　D□　H×　D△
/p ｜■光翼閃（H→D12→D34→T）
/p ｜オ　　　　　　　パッセ
/p ｜ル　　 (MT組) シャリベル (ST組)
/p ｜シ　　 　捨　　　安置　　　捨
/p ｜ュ (H1H2)(D34) 　 (MTST)(D12)
/p ｜ファン　※安置横にペア捨て（重ねる）
",p1
dsr,りりーどーる (P2 - トールダン / 雷槍 / スカイワードリープ / 聖杖ゼフィラン基準),https://ffxiv.link/088010,"/p 【トールダン】
/p ｜■雷槍
/p ｜　MT組 D-1　　　ST組 B-3
/p ｜　　／ H1 ＼　　　／ H2 ＼
/p ｜　／D1MTD3＼　／D2STD4 ＼
/p ｜■スカイワードリープ
/p ｜　　 トールダン　※無職：軽く塔踏み事前散開
/p ｜　　MT 無 ST　 ※青玉：雰囲気散開
/p ｜　青　★　★　青
/p ｜　　　　青
/p ｜■聖杖（前半）ゼフィラン基準
/p ｜　※ペア調整 (MTST/H1H2/D1D2/D3D4)
/p ｜　剣1+MT組→ゼフィランの対角
/p ｜　剣2+ST組→ゼフィランの後ろ
",p2
dsr,りりーどーる (P3 - ニーズヘッグ / ①②③イル↓D・スパ↑B固定 / 4塔近接調整),https://ffxiv.link/088010,"/p 【ニーズヘッグ】
/p ｜■サイコロ
/p ｜　　　　 A　　　※①②③イル↓D・スパ↑B固定
/p ｜　　　 ②　②　　※②③は北でアピール
/p ｜　　　③ ③ ③
/p ｜↓D ①　 ボス　① B↑
/p ｜　　　　 ①
/p ｜　　　　 C
/p ｜■4塔(近接調整)
/p ｜　D3/MT　　ST/D4　※遠隔位置固定＆ゲイル誘導
/p ｜　　　　 ボス　　　　※調整優先度：時計回り＞反時計＞対角
/p ｜　H1/D1　　D2/H2 ※タンク強攻撃：ボス下MT/分身下ST
/p ｜　　　　　　　　　　 ※タンク強着弾後バースト（AA【南】向き）
",p3
dsr,りりーどーる (P4 - 竜の邪眼 / 近接青眼寄せ / ミラージュダイブ青眼集合),https://ffxiv.link/088010,"/p 【竜の邪眼】※近接青眼寄せ
/p ｜■玉取り
/p ｜　　　 MT　　　 　ST　　　 赤⇒D1D2D3D4
/p ｜ (青眼) D1　調整　 D3 (赤眼)　青⇒MTSTH1H2
/p ｜　　　 D2　 ｴﾘｱ 　D4　　　　 色変更：中央でデバフ入れ替え
/p ｜　　　 H1　　 　　H2
/p ｜ 黄玉：DPS／青玉：TH　※黄玉後：邪眼南北で受け渡し
/p ｜■ミラージュダイブ（青眼集合）
/p ｜　①赤MT　　②赤ST
/p ｜　 　 　　青
/p ｜　④赤H1　　③赤H2
/p ｜ 交代順(①②③④優先順位)
/p ｜ 1回目：①D1＞D2④
/p ｜ 2回目：①D3＞D4④
/p ｜ 3回目⇒1回目対象者①MT>ST>H2>H1④
",p4
dsr,りりーどーる (P4-2 - 教皇庁❷ / タンクLB3 / 光翼閃②),https://ffxiv.link/088010,"/p 【教皇庁❷】TLB以外①と同じ
/p ｜※シャリベルHP29%で火力温存
/p ｜タンクLB3
/p ｜■光翼閃（H→D12→D34→T）
/p ｜オ　　　　　　　パッセ
/p ｜ル　　 (MT組) シャリベル (ST組)
/p ｜シ　　 　捨　　　安置　　　捨
/p ｜ュ (H1H2)(D34) 　 (MTST)(D12)
/p ｜ファン　※安置横にペア捨て（重ねる）
",p4
dsr,りりーどーる (P5 - 儀典トールダン / 風槍 / 死刻こまぞう式改),https://ffxiv.link/088010,"/p 【儀典トールダン】
/p ｜■風槍
/p ｜　　騎　竜　騎
/p ｜（以下マクロ全文は著作権上の理由で抜粋のみ）
/p ｜■死刻 こまぞう式改 (アニメ解説: ぬけまる YouTube)
/p ｜　D4>D3>D2>D1>ST>MT>H1>H2 の散開優先度
/p ｜　北西→南東に斜め8人並び、ゲリック出現位置を北として認識
/p ｜　死の宣告解放点を固定、ツイスター直線移動処理
",p5
dsr,りりーどーる (P6 - 二天竜 / おこめ式息吹1 / 脳死息吹2 / 南三角),https://ffxiv.link/088010,"/p 【二天竜】
/p ｜ニーズ：MTH1D1D3／フレース：STH2D2D4
/p ｜■息吹１回目（おこめ式）
/p ｜　　　　　 T
/p ｜ニーズ　　 　　フレース　※調整：H2 D2 D3
/p ｜　　　 D1/D2
/p ｜
/p ｜　 H1/D3　　D4/H2
/p ｜ーーーーーーーーーーーー
/p ｜※息吹1回目後：DPSは散開／THは中央へ
/p ｜■滅殺の誓い（受け渡し順）
/p ｜DPS→MT→ST→近接(D1優先)→D3
/p ｜■邪念の炎
/p ｜　　 ←MTSTD1D2D3D4H1H2→
/p ｜ニーズ　白+(無)/白+(無)/紫/紫/紫/紫 フレース
/p ｜
/p ｜■息吹2回目（脳死）
/p ｜　　　　　A
/p ｜　　　　 H1　D4
/p ｜　MT
/p ｜　　　　　　D2
/p ｜ニーズ（頭割り）フレース
/p ｜　　　D1
/p ｜　　　　　　　　　ST
/p ｜　　D3　 H2
/p ｜　　　　　C
/p ｜■カータライズ
/p ｜　MT　ST　→タッチダウンA集合
/p ｜　 その他 　　 滅殺持ち近接とD3はAに残る
",p6
dsr,りりーどーる (P7 - 騎竜神トールダン最終 / アクモーン2回目TLB3),https://ffxiv.link/088010,"/p 【最終フェーズ】※アクモーン2回目TLB3
/p ｜■エクサフレア
/p ｜（以下マクロ全文は著作権上の理由で抜粋のみ）
/p ｜■トリニティ AA 受け順
/p ｜　エクサ後→H1/H2 / アクモーン後→D1/D2 / ギガ後→D3/D4
/p ｜■アクモーン
/p ｜　1回目: 受け / 2回目: TLB3
/p ｜■ギガフレア
/p ｜　1発目予兆→対角移動→着弾後直線スプリント
",p7
dsr,ふうcだよ FF14情報サイト - 絶竜詩戦争 カンペ集,https://fuucdayo.com/battle/3414/,,"p1, p2, p3, p4, p5, p6, p7"
p5s,Game8 (ゲームエイト) - 煉獄編零式1層 ぬけまる式 マクロVer2,https://game8.jp/ff14/464675,"/p 【基本散開】　　　【十字毒塔】STフリー
/p D3 MT D4　　　　　　MT(無敵)
/p H1　　H2　　　H1D3　　 H2D4
/p D1 ST D2　　　　　　 D1D2
/p 【毒塔（近接内側 / 遠隔外側）】
/p MTST / H1D3：12時から反時計回り
/p D1D2 / H2D4：1時から時計回り
/p 【ベノムサージ(東西受け)/スプラッシュ】
/p 西/内壁：MTH1D1D3 東/外壁：STH2D2D4
/p 【毒沼 + ベノムスコール】
/p 　　毒D1H1D3外
/p 　　　　MT
/p 　　　　☆
/p 　　　　ST
/p 　外D4H2D2毒　※毒が逆位置の場合反転
/p MT組：マーカー1or4に出た毒に合わせて移動
/p ST組：マーカー2or3に出た毒に合わせて移動
/p AOEは外周に捨ててMT/STの位置で頭割り
/p 【4部屋ベノムスプラッシュ：3個部屋の対角】
",p1
p6s,Game8 (ゲームエイト) - 煉獄編零式2層 ぬけまる式 マクロVer1,https://game8.jp/ff14/479307,"/p ※MT組：MTH1D1D3 ST組：STH2D2D4
/p 　【基本散開】　　【カヘキシー1回目】
/p MT/D3　ST/D4 　 　 8　　 　 　8
/p 　　 　 ★　　 　 　12　20 ★ 20　12
/p H1/D1　H2/D2　　16 　 　 　 16
/p 【 頭割り+扇範囲 】｜ 【4：4頭割り】
/p 西：MT組 東：ST組｜西側→MT組 東側→ST組
/p ※時計回りで頭割り｜※内周4マスを使用
/p 【サイコロ】　　 　｜【チェンジバースト2回目】
/p 西：奇数　　　　　｜西→T・H 東→DPS
/p 東：偶数　　　　　｜※AOEも上記方向に捨てる
/p 【カヘキシー2回目】
/p 西：紫デバフ　東：緑デバフ
/p 北・南外周マス→AoE　内周マス→頭割り
",p1
p7s,Game8 (ゲームエイト) - 煉獄編零式3層 ぬけまる式 マクロVer1.5,https://game8.jp/ff14/479465,"/p MT組：MTH1D1D3　ST組：STH2D2D4
/p 　【基本散開】　　　　　【ノックバック+鳥】
/p MT/D1　ST/D2　　　　 D1　　 　 　 D2
/p 　　 　 ★　　　　　　D3　 MT　 　ST　 D4
/p H1/D3　H2/D4　　　　通路 　 　 　 通路
/p 　　　　　　　　　　　H1　　　　　　　H2
/p 【生命の果実：頭割り】　│【魔印創成：散開】
/p 北側：MT組　南側：ST組 │基本散開※頭割りと被ったら通路
/p 【エクサ+頭割り】　 　 　 │【鳥誘導＋塔】
/p 西：MT組　東：ST組　　 │基本散開準拠でズレたら時計回り
/p 【魔印創成：獄】
/p 　 ▼西島▼　　　　　　　 　 ▼東島▼
/p 頭割り　MT/D1 　 　 　 MT/D1　頭割り
/p ST/D2　H2/D4　通路　H2/D4　ST/D2
/p 　　　　H1/D3　 　　　H1/D3
",p1
p8s,Game8 (ゲームエイト) - 煉獄編零式4層前半 ぬけまる式 マクロVer1,https://game8.jp/ff14/480095,"/p ■テトラオクタ/誘導/蛇2　 ■基本散開
/p 　MT/D3　→　ST/D4　　　D3 MT D4
/p 　　↑　　 ☆　　↓　 　　　H1(H2) ST
/p 　H1/D1　←　H2/D2 　　D1 H2 D2
/p ■イントゥシャドウ(1回目)
/p 　蛇：北から時計回りMTD1>STD2>H1D3>H2D4
/p ■フェイタルストンプ
/p 　1,3回目→1(北西)　2,4回目→中央　待機→A(北)
/p ■幻影創造
/p ◎竜竜×散開　　　　 │◎フェニ×散開
/p 　　　　D3　　　 　 │　D3 MT D4
/p 　　　　MT　ST　D4│　H1 ☆ ST
/p 　　H1 D1　D2　　 │　D1 H2 D2
/p 　　　　　　 H2　　 │
/p ■四重炎嵐(縦横) ｜■四重炎嵐(角)
/p 　　　 MT　　　│　　中央　※MT組：西優先
/p 　 D1 ST D2 　　｜T　近
/p 　D3 H1 H2 D4 │遠　H
/p ◎頭割り：近H位置(MTD1/STD2/H1D3/H2D4)
/p ■イントゥシャドウ(2回目) 4:4頭割り
/p 　デバフ持ち：北西>MT/D1>ST/D2>H1/D3>H2/D4>南東
/p 　無職：北西TH/南東DPS
/p ■テトラ/ディフレア
/p 　テトラ：(ボス)MT/D1>ST/D2>H1/D3>H2/D4
/p 　ディフレア：(ボス)MTH1D1D2>STH2D3D4
",p1
p8s,Game8 (ゲームエイト) - 煉獄編零式4層後半 ぬけまる式 マクロVer1 (術式 + 概念1回目),https://game8.jp/ff14/480771,"/p 【術式1回目(頭割は西)】【術式炎氷(TH西 DPS東) 】
/p 　 　★　　　紫 　 ST│ ▼炎:中央前詰め　▼氷誘導
/p D1 MT D2　　 MT　│ MT>ST >H1>H2 西 D1>ST
/p H1　　H2　H1　D2│ D1>D2>D3>D4 東MT>D2
/p D3 S T D4　 　 D1　│【術式2回目散開 】
/p ※左安置は　H2　D3│　STMT 紫 D3D1
/p 　左右反転→　 D4 　│　　 H1H2D4D2
/p 【概念1回目①】　　【概念1回目②】
/p 　　　　早α　　 　 │　　　遅α
/p 複/遅α　　　　　　│
/p 　　　　　　 早β 　│ 生物　　　　遅β
/p 重/遅βγ　　　　　 │
/p 　　　　早γ　　 　 │　　　遅γ
/p ※4塔：遅αβγ→北で合成
/p 　 　 　 複/重/早余り→南で合成
",p2
p8s,Game8 (ゲームエイト) - 煉獄編零式4層後半 ぬけまる式 マクロVer1 (万象灰燼 + 概念2回目 + 支配者),https://game8.jp/ff14/480771,"/p 【万象灰燼：はいじあ/ビジョン式】
/p 　　MT　　D1
/p ST　 +　　　+　D2　※1,3番塔は前+で範囲捨て
/p H1　+　　　+　D3　※2,4番塔は後+で範囲捨て
/p 　 　H2　　D4
/p 【概念2回目①】 　 　【概念2回目②】
/p 　　 無/早α　　　 │　　　　遅α
/p 単　　　　　 　 　 │ 生物
/p 　　　　　　早β　│ ｲﾌ ｲﾌ　　　　遅β
/p 複/遅　　　　　　 │ 生物
/p 　　　 早γ 　　 　 │　　　　遅γ
/p ※4塔：遅αβ→北で合成　遅γ/早余り→南で合成
/p 【支配者の一撃】　　　　　【塔優先度】
/p 　MTH1 D3 D1　西>MTSTH1H2D4D3D2D1>東
/p 　ST H2 D4 D2
",p2
top,りりーどーる (P1 - サークルプログラム / パンクラ / 波動砲T無敵),https://na.finalfantasyxiv.com/lodestone/character/34120564/blog/5178791/,"/p 【サークルプログラム】(南集合)
/p 塔ふみ/線とり/線捨て
/p 北(11.5時)から時計＞H1MTSTD1D2D3D4H2
/p 【パンクラ】
/p 北(東) >H1MTSTD1D2D3D4H2> 南(西)
/p ※東西はACが綺麗に潰れたときのみ使用
/p ミサイル：前方　頭割：後方
/p ※ミサイルを捨てに行くときは内周を通り、戻るときは外周から合流する
/p 【波動砲T無敵】※7方向散開
/p 　　　　　　MTST
/p 　D3　　　　　　　　　　D4
/p 　　　D1　H1　H2　D2
",p1
